label,area,peri,verts,circularity,solidity
CUBE,9546.5,388.72792184352875,4,0.7938940878355639,0.9949452840020844
SPHERE,6854.5,318.9533175230026,7,0.8467035825083384,0.9921117383123462
CLOVER,10696.5,459.5807341337204,5,0.6363967168020956,0.9457141594093983
CUBE,8374.0,344.99494767189026,7,0.8841324905020383,0.9958970089790093
CUBE,8358.0,344.99494767189026,7,0.8824431998586144,0.995711222301644
SPHERE,8362.5,345.5807341337204,7,0.8799276180888267,0.9951210805021717
SPHERE,8368.5,345.5807341337204,8,0.8805589562901461,0.994947093092379
SPHERE,8369.0,346.16652059555054,7,0.8776337300304223,0.9955391661214537
SPHERE,8387.0,346.99494767189026,8,0.8753267570716878,0.9943683680123303
SPHERE,8378.0,346.99494767189026,7,0.8743874532904019,0.9944213649851632
CLOVER,8600.0,396.16652059555054,8,0.6885774132210526,0.9498039648793417
CLOVER,8653.0,397.3380935192108,10,0.6887413546252847,0.955868544600939
CUBE,8986.5,382.3847759962082,4,0.7723235116795626,0.9841747891797175
CUBE,8968.0,382.97056245803833,4,0.7683775693492839,0.9838187702265372
SPHERE,8447.0,347.82337474823,7,0.8773943414372111,0.9945837748734252
CLOVER,8552.0,396.16652059555054,8,0.6847341904495863,0.9501694350313872
PENTAGON,8377.0,365.7401144504547,6,0.786960957062726,0.9750902106856012
SPHERE,6856.5,318.1248904466629,6,0.8513674542664748,0.9947047729580734
CLOVER,10722.0,461.3380935192108,5,0.6330631491017081,0.9473405195264181
SPHERE,9159.0,395.90663504600525,9,0.7342980292558869,0.9674659342980881
SPHERE,9118.5,407.3208485841751,9,0.6906531337547925,0.9616134985499605
PENTAGON,7836.5,346.2670258283615,6,0.8213149507356587,0.9946059144561492
CLOVER,7696.0,483.9655101299286,9,0.41290115495482677,0.7817563106303012
CLOVER,10026.5,410.18376553058624,4,0.7488628508570142,0.9837135148393427
CLOVER,9944.0,427.7401144504547,7,0.6829847663437649,0.9767693138843868
CLOVER,9978.0,432.911687374115,7,0.669044095480504,0.9778997402851962
CLOVER,9955.5,429.9827550649643,7,0.6766605611790281,0.974882491186839
CLOVER,10011.5,433.9827550649643,7,0.6679809400758095,0.9726040705299461
PENTAGON,9996.5,389.5807341337204,5,0.8276808194596332,0.9892137944683588
SPHERE,9103.0,355.90663504600525,8,0.9030717103860977,0.9934519262250354
CUBE,10094.0,400.48528122901917,4,0.7908607926085766,0.9957581138403867
CLOVER,8933.0,407.4802289009094,9,0.6760738142197603,0.9492588066521439
SPHERE,7970.5,341.4385987520218,7,0.8591523835387288,0.9957523892810294
SPHERE,7887.0,422.5096664428711,8,0.5551986557382655,0.9437597223884169
SPHERE,7898.0,457.6812393665314,9,0.4738062353888909,0.906253585771658
SPHERE,7872.5,412.2670258283615,6,0.5820567538723069,0.9304455738092424
PENTAGON,9939.5,388.7523070573807,5,0.8264725682654571,0.9886606654398965
SPHERE,7540.0,333.1959581375122,6,0.8534572280558117,0.9949198390182754
CLOVER,10025.5,434.634556889534,7,0.6669102601684513,0.9428665475406752
PENTAGON,9126.0,372.16652059555054,5,0.8279721405923587,0.9901269393511989
CUBE,11284.0,422.48528122901917,4,0.7944192784289386,0.9997784964337926
PENTAGON,9050.0,375.7401144504547,5,0.8055329626606649,0.9926510913677745
SPHERE,8060.0,340.6518018245697,8,0.8728176602199961,0.9901111725323998
CLOVER,9045.0,402.99494767189026,7,0.6998729885370896,0.9558279615343971
CUBE,9391.0,385.65685415267944,4,0.7934500573884867,0.9999467603684182
SPHERE,7906.0,416.85281229019165,7,0.5717434558907031,0.9350127136183549
SPHERE,7895.5,403.4385987520218,7,0.6095854724668136,0.9434221531843708
SPHERE,7919.5,401.4385987520218,7,0.6175460825554334,0.9440338538562403
SPHERE,7662.5,335.4385987520218,6,0.8557645288451227,0.9950652555028894
CLOVER,9095.0,403.4802289009094,10,0.7020500107672101,0.9577212657294792
CUBE,10131.5,497.6984843015671,6,0.5139856292200895,0.9081660093223377
PENTAGON,8348.5,357.4385987520218,6,0.8211366144411086,0.9939282100125008
SPHERE,8568.5,348.4091612100601,7,0.8870243318910025,0.9952378186886579
CLOVER,9942.0,415.1959581375122,7,0.724731918197324,0.9729888432178508
PENTAGON,8395.5,357.09545290470123,6,0.8273471777188097,0.9951401647602679
CLOVER,10077.0,420.3675310611725,6,0.7166098849946176,0.9712303021541131
SPHERE,8279.0,343.62236428260803,7,0.8810993955365262,0.9928048926729823
SPHERE,8750.5,349.66399443149567,8,0.8993751924302412,0.9931335830212235
CUBE,10590.5,410.2426406145096,4,0.7907600691155903,1.0
CLOVER,9520.5,422.4924215078354,10,0.6702422100622368,0.9454319761668322
